zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
Al,B,60,8,7,87,2,0,87,11,23,32,87,68,0,3,5,7,29,0,3,1,1,8,26,0,0,0,0,0,0,2,0,0,1,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,2,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
Al,C,55,1,0,2,61,3,61,5,19,11,61,21,7,12,7,5,22,0,0,1,0,2,3,0,1,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
Al,N,25,0,0,0,3,25,25,1,2,2,25,6,5,12,3,4,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Al,O,911,46,39,87,61,25,1164,141,327,288,1164,632,200,171,63,204,448,3,51,42,8,121,287,1,12,56,45,2,4,63,4,0,4,46,18,9,9,4,0,0,0,0,1,0,11,10,3,0,8,62,23,32,0,8,1,0,0,0,1,0,6,5,0,0,0,0,0,1,1,35,1,7,23
Al,F,107,18,5,11,5,1,141,157,58,40,157,60,36,22,5,24,66,0,3,3,1,11,23,0,0,4,0,0,0,5,0,0,2,12,7,0,0,0,0,0,0,0,1,0,0,0,0,0,3,12,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5
Al,Na,243,15,11,23,19,2,327,58,336,91,336,232,50,47,28,102,173,0,12,7,3,31,75,0,0,5,5,0,0,13,0,0,0,20,1,2,3,0,0,0,0,0,0,0,1,0,0,0,3,24,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1
Al,Mg,217,6,10,32,11,2,288,40,91,291,291,179,40,21,10,47,125,1,26,10,6,44,117,1,3,4,16,0,0,9,0,0,0,9,1,3,2,2,0,0,0,0,0,0,5,3,0,0,0,18,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
Al,Al,911,49,39,87,61,25,1164,157,336,291,1190,632,200,171,63,205,456,3,51,42,8,121,293,1,15,61,47,2,4,63,4,0,4,47,18,9,9,4,0,0,0,0,1,0,11,10,3,0,8,64,23,32,0,8,1,0,0,0,1,0,6,5,0,0,0,0,0,1,1,37,1,7,23
Al,Si,472,36,28,68,21,6,632,60,232,179,632,632,10,42,37,156,327,1,29,16,5,67,163,0,3,10,13,0,1,7,1,0,3,20,11,2,4,0,0,0,0,0,0,0,2,2,1,0,6,40,17,24,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,13,0,5,1
Al,P,181,6,3,0,7,5,200,36,50,40,200,10,200,14,1,18,54,0,3,6,0,42,59,0,0,7,6,1,1,1,0,0,0,11,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,13,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,4,14
Al,S,151,0,0,3,12,12,171,22,47,21,171,42,14,171,21,40,54,0,0,2,1,6,26,1,6,23,8,0,0,7,0,0,0,2,4,0,3,3,0,0,0,0,0,0,0,2,1,0,0,4,2,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,1,5
Al,Cl,40,1,1,5,7,3,63,5,28,10,63,37,1,21,63,22,33,0,1,0,0,0,6,0,0,8,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Al,K,142,7,8,7,5,4,204,24,102,47,205,156,18,40,22,205,95,0,10,2,1,19,47,0,0,7,7,0,0,9,0,0,2,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
Al,Ca,344,7,16,29,22,0,448,66,173,125,456,327,54,54,33,95,456,3,19,12,5,44,130,0,0,9,3,0,0,11,0,0,0,20,10,5,2,0,0,0,0,0,0,0,4,2,0,0,0,28,13,21,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,3,1
Al,Sc,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,Ti,27,0,1,3,0,0,51,3,12,26,51,29,3,0,1,10,19,1,51,1,1,4,33,0,0,0,5,0,0,3,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,5,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Al,V,38,0,0,1,1,0,42,3,7,10,42,16,6,2,0,2,12,0,1,42,0,6,7,0,2,4,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Al,Cr,6,0,0,1,0,0,8,1,3,6,8,5,0,1,0,1,5,0,1,0,8,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,Mn,100,5,2,8,2,0,121,11,31,44,121,67,42,6,0,19,44,0,4,6,1,121,52,0,0,0,9,0,0,5,0,0,1,5,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,6,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
