zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
Cl,REE,0.018421053,0.021052632,0,0,0.013157895,0.005263158,0.002631579,0,0.015789474,0.010526316,0,0.002631579,0,0,0,0,0.007894737,0.013157895,0,0.023684211,0,0.010526316,0.023684211,0.023684211,0.005263158,0,0.002631579,0,0,0
Cl,U,0.002631579,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002631579,0,0.002631579,0.002631579,0.002631579,0,0,0,0,0
Cl,F,0.028947368,0.031578947,0.007894737,0,0.023684211,0.013157895,0.005263158,0,0.010526316,0.005263158,0,0.002631579,0.002631579,0,0.002631579,0.010526316,0.005263158,0.021052632,0.015789474,0.010526316,0,0.063157895,0.063157895,0.05,0.018421053,0,0.002631579,0,0,0
Cl,Cl,0.571052632,0.223684211,0.160526316,0.094736842,0.263157895,0.052631579,0.031578947,0.021052632,0.089473684,0.147368421,0.018421053,0.231578947,0.021052632,0.036842105,0.092105263,0.15,0.081578947,0.221052632,0.236842105,0.023684211,0.002631579,0.063157895,1,0.860526316,0.197368421,0.031578947,0.023684211,0.086842105,0.034210526,0.028947368
Cl,O,0.557894737,0.215789474,0.128947368,0.092105263,0.257894737,0.05,0.031578947,0.021052632,0.081578947,0.131578947,0.013157895,0.218421053,0.007894737,0.031578947,0.092105263,0.15,0.081578947,0.221052632,0.197368421,0.023684211,0.002631579,0.05,0.860526316,0.860526316,0.15,0.031578947,0.023684211,0.078947368,0.026315789,0.015789474
Cl,S,0.084210526,0.084210526,0.044736842,0.015789474,0.039473684,0.002631579,0,0,0.007894737,0.023684211,0.005263158,0.034210526,0.010526316,0.002631579,0.005263158,0.05,0.023684211,0.036842105,0.044736842,0.005263158,0.002631579,0.018421053,0.197368421,0.15,0.197368421,0,0,0.007894737,0.015789474,0.013157895
Cl,Se,0.002631579,0.002631579,0.005263158,0,0,0,0,0,0,0,0,0.026315789,0,0.005263158,0,0,0,0,0.010526316,0,0,0,0.031578947,0.031578947,0,0.031578947,0,0,0,0.002631579
Cl,P,0.007894737,0.007894737,0,0,0.013157895,0.005263158,0,0,0.002631579,0,0,0.005263158,0,0,0,0.002631579,0.002631579,0.002631579,0.005263158,0.002631579,0,0.002631579,0.023684211,0.023684211,0,0,0.023684211,0,0,0.002631579
Cl,As,0.039473684,0.021052632,0.007894737,0,0.028947368,0.002631579,0,0.002631579,0.002631579,0.010526316,0,0.031578947,0,0.002631579,0,0.005263158,0,0.002631579,0.042105263,0,0,0,0.086842105,0.078947368,0.007894737,0,0,0.086842105,0.007894737,0.005263158
Cl,Sb,0.007894737,0.002631579,0,0,0.005263158,0,0,0,0,0,0,0.010526316,0.002631579,0,0,0.002631579,0,0,0.023684211,0,0,0,0.034210526,0.026315789,0.015789474,0,0,0.007894737,0.034210526,0
